,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
293,19.3088,-155.116,3.35,1.66,21.8507,0.17591180555555555
294,19.3655,-155.1877,2.45,3.15,12.1064,0.17440613425925924
295,19.3655,-155.1877,2.45,3.15,12.1064,0.17440613425925924
296,19.3642,-155.1552,0.95,1.53,15.1987,0.172625
297,19.3642,-155.1552,0.95,1.53,15.1987,0.172625
298,19.3632,-155.1527,3.2,0.89,15.4835,0.1658585648148148
299,19.3632,-155.1527,3.2,0.89,15.4835,0.1658585648148148
300,19.3718,-155.142,2.32,1.52,16.1625,0.14907511574074075
301,19.3718,-155.142,2.32,1.52,16.1625,0.14907511574074075
302,19.3727,-155.1715,3.21,1.52,13.2515,0.14507557870370372
303,19.3727,-155.1715,3.21,1.52,13.2515,0.14507557870370372
304,19.3313,-155.208,7.24,1.58,12.9676,0.11664479166666668
305,19.3313,-155.208,7.24,1.58,12.9676,0.11664479166666668
306,19.34,-155.059,8.39,2.69,25.5559,0.11290277777777778
307,19.34,-155.059,8.39,2.69,25.5559,0.11290277777777778
308,19.3728,-155.17,3.32,1.52,13.390999999999998,0.09797997685185184
309,19.3728,-155.17,3.32,1.52,13.390999999999998,0.09797997685185184
310,19.3337,-155.181,8.81,1.88,14.7604,0.09602395833333333
311,19.3337,-155.181,8.81,1.88,14.7604,0.09602395833333333
312,19.3603,-155.1892,1.64,0.86,12.2796,0.09251273148148148
313,19.3603,-155.1892,1.64,0.86,12.2796,0.09251273148148148
314,19.3725,-155.1745,2.33,1.52,12.9737,0.09176111111111111
315,19.3725,-155.1745,2.33,1.52,12.9737,0.09176111111111111
316,19.371,-155.1498,3.31,1.52,15.427,0.09113171296296296
317,19.371,-155.1498,3.31,1.52,15.427,0.09113171296296296
318,19.3877,-155.1095,2.71,1.5,18.9809,0.07469722222222222
319,19.3877,-155.1095,2.71,1.5,18.9809,0.07469722222222222
320,19.3077,-155.15,7.3,1.22,19.1122,0.05861435185185185
321,19.3077,-155.15,7.3,1.22,19.1122,0.05861435185185185
322,19.2822,-155.0998,3.47,1.65,24.9786,0.05522731481481482
323,19.2822,-155.0998,3.47,1.65,24.9786,0.05522731481481482
324,19.382,-155.1577,2.47,1.6,14.2378,0.04645891203703704
325,19.382,-155.1577,2.47,1.6,14.2378,0.04645891203703704
326,19.3648,-155.1817,2.95,1.54,12.6901,0.04371250000000001
327,19.3648,-155.1817,2.95,1.54,12.6901,0.04371250000000001
