,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
247,19.3668,-155.138,0.52,1.47,16.75,False,True,True
248,19.3632,-155.154,3.01,1.66,15.3595,False,True,True
249,19.3632,-155.154,3.01,1.66,15.3595,False,True,True
250,19.3632,-155.144,4.46,2.01,16.317999999999998,False,True,True
251,19.3632,-155.144,4.46,2.01,16.317999999999998,False,True,True
252,19.3775,-155.1457,4.84,1.53,15.5895,False,True,True
253,19.3775,-155.1457,4.84,1.53,15.5895,False,True,True
254,19.3635,-155.153,3.4,2.5,15.440999999999999,False,True,True
255,19.3635,-155.153,3.4,2.5,15.440999999999999,False,True,True
256,19.3795,-155.14700000000002,2.85,1.7,15.3917,False,True,True
257,19.3795,-155.14700000000002,2.85,1.7,15.3917,False,True,True
258,19.3705,-155.151,3.98,1.3,15.33,False,True,True
259,19.3705,-155.151,3.98,1.3,15.33,False,True,True
260,19.3757,-155.1485,3.42,1.78,15.375,False,True,True
261,19.3757,-155.1485,3.42,1.78,15.375,False,True,True
262,19.3697,-155.1538,3.57,1.75,15.0905,False,True,True
263,19.3697,-155.1538,3.57,1.75,15.0905,False,True,True
264,19.3737,-155.1448,2.56,1.89,15.8149,False,True,True
265,19.3737,-155.1448,2.56,1.89,15.8149,False,True,True
266,19.3678,-155.1435,1.76,1.9,16.172,False,True,True
267,19.3678,-155.1435,1.76,1.9,16.172,False,True,True
268,19.4075,-155.179,0.5,1.77,11.4255,False,True,True
269,19.4075,-155.179,0.5,1.77,11.4255,False,True,True
270,19.3565,-155.1122,2.22,1.61,19.6877,False,True,True
271,19.3565,-155.1122,2.22,1.61,19.6877,False,True,True
272,19.369,-155.1738,3.34,1.58,13.2063,False,True,True
273,19.369,-155.1738,3.34,1.58,13.2063,False,True,True
274,19.3642,-155.1533,1.92,1.7,15.3802,False,True,True
275,19.3642,-155.1533,1.92,1.7,15.3802,False,True,True
276,19.3795,-155.1523,3.23,1.53,14.8623,False,True,True
277,19.3795,-155.1523,3.23,1.53,14.8623,False,True,True
278,19.379,-155.0907,2.39,2.54,21.1115,False,True,True
279,19.379,-155.0907,2.39,2.54,21.1115,False,True,True
280,19.3765,-155.16899999999998,3.55,1.59,13.3289,False,True,True
281,19.3765,-155.16899999999998,3.55,1.59,13.3289,False,True,True
282,19.3747,-155.143,2.9,1.58,15.9568,False,True,True
283,19.3747,-155.143,2.9,1.58,15.9568,False,True,True
284,19.3908,-155.1287,3.58,1.82,16.9386,False,True,True
285,19.3908,-155.1287,3.58,1.82,16.9386,False,True,True
286,19.3738,-155.1135,2.08,2.62,18.9392,False,True,True
287,19.3738,-155.1135,2.08,2.62,18.9392,False,True,True
288,19.3775,-155.0903,1.48,1.12,21.19,False,True,True
289,19.3775,-155.0903,1.48,1.12,21.19,False,True,True
290,19.378,-155.1442,2.67,1.51,15.7221,False,True,True
291,19.378,-155.1442,2.67,1.51,15.7221,False,True,True
292,19.3088,-155.116,3.35,1.66,21.8507,False,True,True
293,19.3088,-155.116,3.35,1.66,21.8507,False,True,True
294,19.3655,-155.1877,2.45,3.15,12.1064,False,True,True
295,19.3655,-155.1877,2.45,3.15,12.1064,False,True,True
296,19.3642,-155.1552,0.95,1.53,15.1987,False,True,True
297,19.3642,-155.1552,0.95,1.53,15.1987,False,True,True
298,19.3632,-155.1527,3.2,0.89,15.4835,False,True,True
299,19.3632,-155.1527,3.2,0.89,15.4835,False,True,True
300,19.3718,-155.142,2.32,1.52,16.1625,False,True,True
301,19.3718,-155.142,2.32,1.52,16.1625,False,True,True
302,19.3727,-155.1715,3.21,1.52,13.2515,False,True,True
303,19.3727,-155.1715,3.21,1.52,13.2515,False,True,True
304,19.3313,-155.208,7.24,1.58,12.9676,False,True,True
305,19.3313,-155.208,7.24,1.58,12.9676,False,True,True
306,19.34,-155.059,8.39,2.69,25.5559,False,True,True
307,19.34,-155.059,8.39,2.69,25.5559,False,True,True
308,19.3728,-155.17,3.32,1.52,13.390999999999998,False,True,True
309,19.3728,-155.17,3.32,1.52,13.390999999999998,False,True,True
